,teamA,teamB,map,scoreTeamA,scoreTeamB
266,UNGENTIUM,EC Kyiv,Dust2,6,16
267,OneTap,KTRL,Vertigo,16,12
268,OneTap,KTRL,Inferno,14,16
269,OneTap,KTRL,Mirage,16,14
270,Apeks,ex-MAD Lions,Mirage,16,7
271,Apeks,ex-MAD Lions,Dust2,12,16
272,Apeks,ex-MAD Lions,Nuke,9,16
273,PACT,EC Kyiv,Ancient,14,16
274,PACT,EC Kyiv,Dust2,8,16
275,MASONIC,UNGENTIUM,Vertigo,19,16
276,MASONIC,UNGENTIUM,Dust2,3,16
277,MASONIC,UNGENTIUM,Ancient,16,8
278,Philadelphia Liberty,Northern Forces,Inferno,4,16
279,Philadelphia Liberty,Northern Forces,Nuke,10,16
280,Detonate,Snakes Den,Mirage,16,9
281,Detonate,Snakes Den,Dust2,16,7
282,allStars,Nexus,Default,0,1
283,allStars,Nexus,Nuke,12,16
284,Into the Breach,UNGENTIUM,Vertigo,14,16
285,Into the Breach,UNGENTIUM,Mirage,14,16
286,SKADE,MASONIC,Nuke,13,16
287,SKADE,MASONIC,Inferno,16,11
288,SKADE,MASONIC,Dust2,22,25
289,forZe,Astralis,Mirage,8,16
290,forZe,Astralis,Nuke,19,22
291,Nexus,KTRL,Mirage,18,22
292,Nexus,KTRL,Inferno,18,22
293,ECSTATIC,ex-MAD Lions,Ancient,16,8
294,ECSTATIC,ex-MAD Lions,Dust2,9,16
295,ECSTATIC,ex-MAD Lions,Nuke,10,16
296,BIG Academy,FLET,Overpass,16,1
297,BIG Academy,FLET,Nuke,7,16
298,BIG Academy,FLET,Mirage,9,16
299,VP.Prodigy,Apeks,Dust2,2,16
300,VP.Prodigy,Apeks,Ancient,11,16
301,ENCE,FaZe,Ancient,10,16
302,ENCE,FaZe,Overpass,12,16
303,OneTap,allStars,Overpass,16,8
304,OneTap,allStars,Ancient,12,16
305,OneTap,allStars,Dust2,16,12
306,fnatic,Bad News Eagles,Nuke,16,8
307,fnatic,Bad News Eagles,Ancient,16,12
308,ECSTATIC,SINNERS,Overpass,20,22
309,ECSTATIC,SINNERS,Vertigo,14,16
310,EC Kyiv,UNGENTIUM,Vertigo,17,19
311,EC Kyiv,UNGENTIUM,Inferno,16,10
312,EC Kyiv,UNGENTIUM,Mirage,12,16
313,PACT,MASONIC,Vertigo,14,16
314,PACT,MASONIC,Ancient,16,19
315,Luxe,Davenport University,Vertigo,16,7
316,Luxe,Davenport University,Overpass,14,16
317,Luxe,Davenport University,Nuke,8,16
318,ONET4P,Victorum,Overpass,16,4
319,ONET4P,Victorum,Inferno,16,10
320,BLUEJAYS,BIG Academy,Mirage,14,16
321,BLUEJAYS,BIG Academy,Dust2,16,13
322,BLUEJAYS,BIG Academy,Vertigo,16,6
323,Cloud9,9z,Mirage,16,13
324,Cloud9,9z,Dust2,10,16
325,Cloud9,9z,Overpass,16,14
326,eSuba,ECLOT,Dust2,3,16
327,eSuba,ECLOT,Vertigo,13,16
328,Bad News Eagles,forZe,Nuke,16,9
329,Bad News Eagles,forZe,Mirage,12,16
330,Bad News Eagles,forZe,Inferno,16,11
331,Into the Breach,EC Kyiv,Overpass,17,19
332,Into the Breach,EC Kyiv,Vertigo,14,16
333,SKADE,AVANGAR,Inferno,16,14
334,SKADE,AVANGAR,Mirage,16,12
335,NAVI Junior,ONYX,Overpass,9,16
336,NAVI Junior,ONYX,Mirage,5,16
337,UNGENTIUM,B8,Vertigo,16,9
338,UNGENTIUM,B8,Dust2,13,16
339,UNGENTIUM,B8,Ancient,16,5
340,BIG,Eternal Fire,Overpass,16,10
341,BIG,Eternal Fire,Dust2,16,19
342,BIG,Eternal Fire,Nuke,16,7
343,Illuminar,Sangal,Dust2,5,16
344,Illuminar,Sangal,Overpass,16,14
345,Illuminar,Sangal,Ancient,6,16
346,ex-MAD Lions,MOUZ NXT,Dust2,16,10
347,ex-MAD Lions,MOUZ NXT,Mirage,16,10
348,Rare Atom,IHC,Default,1,0
349,Rare Atom,IHC,Ancient,0,16
350,Rare Atom,IHC,Mirage,16,13
351,Rare Atom,IHC,Overpass,16,11
352,Sangal,HONORIS,Ancient,16,13
353,Sangal,HONORIS,Vertigo,16,5
354,paiN,ATK,Default,1,0
355,paiN,ATK,Dust2,19,16
356,paiN,ATK,Inferno,16,9
357,Rehl,Los Grandes,Overpass,16,9
358,Rehl,Los Grandes,Inferno,14,16
359,Rehl,Los Grandes,Dust2,16,11
360,LGG Snakes Den,Aiming is Difficult,Ancient,16,14
361,LGG Snakes Den,Aiming is Difficult,Overpass,16,10
362,CLG Red,Sacrifice,Inferno,16,8
363,CLG Red,Sacrifice,Mirage,16,14
364,Stanley's Harem,Stuck in Iceland,Vertigo,16,3
365,Stanley's Harem,Stuck in Iceland,Inferno,16,6
366,ex-Black Dragons fe,Quem Sao Elas,Mirage,19,16
367,ex-Black Dragons fe,Quem Sao Elas,Dust2,16,14
368,MASONIC,FLET,Overpass,13,16
369,MASONIC,FLET,Dust2,17,19
370,1PIN,Apeks,Ancient,16,13
371,1PIN,Apeks,Mirage,8,16
372,1PIN,Apeks,Overpass,9,16
373,Stuck in Iceland,Aiming is Difficult,Dust2,11,16
374,Stuck in Iceland,Aiming is Difficult,Inferno,4,16
375,9z,FURIA,Overpass,11,16
376,9z,FURIA,Ancient,16,4
377,9z,FURIA,Mirage,19,17
378,Daotsu,B4,Mirage,11,16
379,Daotsu,B4,Dust2,16,13
380,Daotsu,B4,Nuke,1,16
381,MOUZ,Eternal Fire,Nuke,16,2
382,MOUZ,Eternal Fire,Mirage,12,16
383,MOUZ,Eternal Fire,Inferno,13,16
384,KJlACCHblE,OG Academy,Mirage,16,10
385,KJlACCHblE,OG Academy,Ancient,16,8
386,Stars Horizon,MIBR Academy,Nuke,16,14
387,Stars Horizon,MIBR Academy,Vertigo,16,14
388,ONYX,BEE,Vertigo,16,9
389,ONYX,BEE,Inferno,6,16
390,ONYX,BEE,Mirage,16,7
391,ONYX,BEE,Overpass,16,5
392,Nemiga,ECLOT,Mirage,10,16
393,Nemiga,ECLOT,Inferno,16,12
394,Nemiga,ECLOT,Overpass,6,16
395,Falcons,1WIN,Default,1,0
396,Falcons,1WIN,Vertigo,16,10
397,Falcons,1WIN,Nuke,16,10
398,LGG Snakes Den,Stanley's Harem,Nuke,16,9
399,LGG Snakes Den,Stanley's Harem,Overpass,16,8
400,BIG Academy,MOUZ NXT,Nuke,6,16
401,BIG Academy,MOUZ NXT,Dust2,13,16
402,k1ck,OG Academy,Dust2,10,16
403,k1ck,OG Academy,Ancient,16,12
404,k1ck,OG Academy,Inferno,12,16
405,MostValuablePlayers,Copenhagen Flames fe,Inferno,8,16
406,MostValuablePlayers,Copenhagen Flames fe,Vertigo,16,12
407,MostValuablePlayers,Copenhagen Flames fe,Mirage,16,9
408,Illuminar,KJlACCHblE,Mirage,20,22
409,Illuminar,KJlACCHblE,Overpass,10,16
410,FaZe,OG,Ancient,11,16
411,FaZe,OG,Mirage,16,9
412,FaZe,OG,Overpass,16,13
413,Astralis,Complexity,Inferno,16,5
414,Astralis,Complexity,Overpass,11,16
415,Astralis,Complexity,Nuke,16,9
416,MOUZ NXT,FURIA Academy,Mirage,16,9
417,MOUZ NXT,FURIA Academy,Inferno,16,6
418,SINNERS,Enterprise,Mirage,16,11
419,SINNERS,Enterprise,Overpass,16,8
420,IHC,ARAVT,Nuke,16,8
421,IHC,ARAVT,Dust2,16,12
422,Illuminar,Into the Breach,Default,0,1
423,HONORIS,Into the Breach,Vertigo,11,16
424,HONORIS,Into the Breach,Overpass,7,16
425,Sangal,Illuminar,Ancient,5,16
426,Sangal,Illuminar,Mirage,16,9
427,Sangal,Illuminar,Vertigo,4,16
428,ARAVT,NKT,Vertigo,16,9
429,ARAVT,NKT,Inferno,16,14
430,ATK,Gaimin Gladiators,Inferno,16,3
431,ATK,Gaimin Gladiators,Overpass,16,13
432,MIBR Academy,SWS,Inferno,16,14
433,MIBR Academy,SWS,Mirage,7,16
434,MIBR Academy,SWS,Nuke,16,14
435,Gaimin Gladiators,EG.CD,Mirage,16,10
436,Gaimin Gladiators,EG.CD,Inferno,16,11
437,Daotsu,Boca Juniors,Nuke,19,15
438,Daotsu,Boca Juniors,Mirage,16,14
439,Eternal Fire,Imperial,Nuke,7,16
440,Eternal Fire,Imperial,Mirage,25,23
441,Eternal Fire,Imperial,Vertigo,16,13
442,fnatic,MOUZ NXT,Mirage,10,16
443,fnatic,MOUZ NXT,Inferno,16,11
444,fnatic,MOUZ NXT,Nuke,16,14
445,Stone,B4,Nuke,6,16
446,Stone,B4,Ancient,0,16
447,Los Grandes,Meta BR,Inferno,17,19
448,1WIN,Movistar Riders,Vertigo,16,14
449,1WIN,Movistar Riders,Mirage,16,11
450,Outsiders,FURIA,Inferno,6,16
451,Outsiders,FURIA,Vertigo,10,16
452,Stars Horizon,The Union,Vertigo,6,16
453,Rehl,Redragon,Overpass,5,16
454,BIG Academy,FURIA Academy,Dust2,16,3
455,BIG Academy,FURIA Academy,Overpass,16,1
456,forZe,Enterprise,Nuke,16,11
457,forZe,Enterprise,Inferno,16,14
458,Anonymo,B8,Dust2,16,19
459,Anonymo,B8,Nuke,9,16
460,fnatic Rising,MOUZ NXT,Inferno,13,16
461,fnatic Rising,MOUZ NXT,Dust2,16,19
462,Entropiq,OG,Ancient,7,16
463,Entropiq,OG,Dust2,12,16
464,SAW,Movistar Riders,Ancient,9,16
465,SAW,Movistar Riders,Overpass,8,16
466,IHC,Rare Atom,Overpass,8,16
467,IHC,Rare Atom,Inferno,23,25
468,ARAVT,CatEvil,Inferno,16,11
469,ARAVT,CatEvil,Nuke,16,12
470,NKT,OS,Inferno,16,8
471,NKT,OS,Vertigo,16,10
472,Nexus,B8,Inferno,16,11
473,Nexus,B8,Nuke,8,16
474,Nexus,B8,Vertigo,6,16
475,Philadelphia Liberty,X13,Nuke,16,7
476,Philadelphia Liberty,X13,Mirage,15,19
477,Philadelphia Liberty,X13,Inferno,16,10
478,paiN,ATK,Ancient,16,11
479,paiN,ATK,Dust2,22,20
480,Gaimin Gladiators,Mythic,Overpass,22,18
481,Gaimin Gladiators,Mythic,Ancient,16,9
482,EG.CD,BHOP,Inferno,16,5
483,EG.CD,BHOP,Overpass,16,14
484,B4,Isurus,Nuke,16,13
485,B4,Isurus,Mirage,16,14
