,teamA,teamB,map,scoreTeamA,scoreTeamB
1193,PROSPECTS,Eternal Fire Academy,Dust2,16,14
1194,SKADE,Sprout,Ancient,16,1
1195,SKADE,Sprout,Nuke,12,16
1196,SKADE,Sprout,Dust2,2,16
1197,NAVI Junior,Young Ninjas,Mirage,14,16
1198,BIG Academy,FURIA Academy,Overpass,16,14
1199,Apeks,KOVA,Nuke,16,7
1200,Apeks,KOVA,Inferno,16,10
1201,Astralis Talent,Apeks Rebels,Mirage,16,6
1202,X,Enterprise,Inferno,16,6
1203,X,Enterprise,Vertigo,16,13
1204,Hellslayers,K23,Overpass,14,16
1205,Hellslayers,K23,Ancient,13,16
1206,OG Academy,Spirit Academy,Dust2,16,13
1207,Nigma Galaxy,FURIA fe,Mirage,14,16
1208,Nigma Galaxy,FURIA fe,Vertigo,16,5
1209,Nigma Galaxy,FURIA fe,Overpass,16,7
1210,ATK,Gaimin Gladiators,Mirage,16,9
1211,ATK,Gaimin Gladiators,Inferno,16,11
1212,NAVI Javelins,NSC,Inferno,12,16
1213,NAVI Javelins,NSC,Nuke,16,8
1214,NAVI Javelins,NSC,Vertigo,16,12
1215,B4,Stars Horizon,Vertigo,13,16
1216,B4,Stars Horizon,Mirage,16,7
1217,B4,Stars Horizon,Overpass,16,8
1218,Gaimin Gladiators,Bad News Bears,Overpass,13,16
1219,Gaimin Gladiators,Bad News Bears,Mirage,16,11
1220,Gaimin Gladiators,Bad News Bears,Inferno,16,7
1221,CLG Red,FURIA fe,Vertigo,16,3
1222,CLG Red,FURIA fe,Mirage,17,19
1223,CLG Red,FURIA fe,Dust2,2,16
1224,FPL Demons,ATK,Inferno,7,16
1225,FPL Demons,ATK,Overpass,14,16
1226,MIBR fe,ENDGAME,Vertigo,7,16
1227,MIBR fe,ENDGAME,Inferno,12,16
1228,SINNERS,Budapest Five,Ancient,16,7
1229,SINNERS,Budapest Five,Mirage,10,16
1230,SINNERS,Budapest Five,Overpass,16,9
1231,Young Ninjas,FURIA Academy,Vertigo,16,13
1232,Eternal Fire Academy,Spirit Academy,Dust2,6,16
1233,ENCE,Cloud9,Mirage,12,16
1234,ENCE,Cloud9,Overpass,11,16
1235,ENCE,Cloud9,Ancient,3,16
1236,iNation,Wolsung,Inferno,12,16
1237,iNation,Wolsung,Dust2,10,16
1238,Nigma Galaxy,BIG EQUIPA,Ancient,9,16
1239,Nigma Galaxy,BIG EQUIPA,Inferno,16,7
1240,Nigma Galaxy,BIG EQUIPA,Overpass,16,5
1241,los kogutos,ECLOT,Ancient,16,9
1242,los kogutos,ECLOT,Mirage,16,7
1243,NAVI Junior,Astralis Talent,Mirage,14,16
1244,Entropiq Prague,Enterprise,Mirage,16,13
1245,Entropiq Prague,Enterprise,Nuke,6,16
1246,Entropiq Prague,Enterprise,Inferno,11,16
1247,Young Gods,fnatic Rising,Ancient,16,12
1248,Wolsung,ECLOT,Overpass,6,16
1249,Wolsung,ECLOT,Ancient,13,16
1250,Cocolovers,Vikings,Nuke,16,6
1251,Cocolovers,Vikings,Mirage,16,3
1252,MOUZ NXT,OG Academy,Nuke,16,10
1253,los kogutos,iNation,Mirage,16,10
1254,los kogutos,iNation,Ancient,13,16
1255,los kogutos,iNation,Nuke,16,8
1256,Coastal Mayhem,BLUEJAYS,Inferno,3,16
1257,Coastal Mayhem,BLUEJAYS,Mirage,12,16
1258,Axolotls,BHOP,Vertigo,9,16
1259,Axolotls,BHOP,Inferno,7,16
1260,Stars Horizon,ARCTIC,Overpass,11,16
1261,Stars Horizon,ARCTIC,Ancient,16,12
1262,Stars Horizon,ARCTIC,Mirage,16,13
1263,FURIA fe,Please Send Help,Overpass,16,6
1264,FURIA fe,Please Send Help,Mirage,16,6
1265,BIG,Cloud9,Overpass,16,14
1266,BIG,Cloud9,Dust2,9,16
1267,BIG,Cloud9,Ancient,3,16
1268,Black Dragons fe,BIG EQUIPA,Dust2,14,16
1269,Black Dragons fe,BIG EQUIPA,Overpass,16,19
1270,Young Gods,Eternal Fire Academy,Vertigo,19,17
1271,MOUZ NXT,Spirit Academy,Mirage,16,14
1272,ATK fe,Please Send Help,Inferno,10,16
1273,ATK fe,Please Send Help,Overpass,16,19
1274,ENCE,FURIA,Vertigo,16,14
1275,ENCE,FURIA,Nuke,16,9
1276,ECLOT,UNGENTIUM,Vertigo,7,16
1277,ECLOT,UNGENTIUM,Mirage,16,14
1278,ECLOT,UNGENTIUM,Ancient,16,11
1279,PROSPECTS,fnatic Rising,Vertigo,12,16
1280,FURIA Academy,Astralis Talent,Mirage,12,16
1281,Apeks Rebels,NAVI Junior,Dust2,6,16
1282,los kogutos,OneTap,Nuke,16,7
1283,los kogutos,OneTap,Overpass,9,16
1284,los kogutos,OneTap,Mirage,16,9
1285,Anonymo,iNation,Nuke,7,16
1286,Anonymo,iNation,Vertigo,13,16
1287,Enterprise,allStars,Inferno,16,19
1288,Enterprise,allStars,Mirage,16,8
1289,Enterprise,allStars,Overpass,16,6
1290,Wolsung,QUADRUPLE,Default,1,0
1291,Mindfreak,BIG EQUIPA,Inferno,6,16
1292,Mindfreak,BIG EQUIPA,Ancient,7,16
1293,MIBR,Mythic,Mirage,19,16
1294,MIBR,Mythic,Dust2,16,14
1295,FaZe,Cloud9,Overpass,16,14
1296,FaZe,Cloud9,Inferno,13,16
1297,FaZe,Cloud9,Mirage,13,16
1298,Brazen,Unjustified,Overpass,16,14
1299,Brazen,Unjustified,Nuke,16,2
1300,Nigma Galaxy,FURIA fe,Overpass,19,17
1301,GODSENT,ex-UYU,Inferno,16,12
1302,GODSENT,ex-UYU,Overpass,16,9
1303,Redragon,ARCTIC,Nuke,16,3
1304,Redragon,ARCTIC,Overpass,17,19
1305,Redragon,ARCTIC,Dust2,17,19
1306,CLG Red,Black Dragons fe,Overpass,22,20
1307,Please Send Help,FURIA fe,Nuke,2,16
1308,G2,FURIA,Inferno,16,13
1309,G2,FURIA,Vertigo,17,19
1310,G2,FURIA,Mirage,5,16
1311,Stars Horizon,B4,Mirage,5,16
1312,Stars Horizon,B4,Ancient,8,16
1313,Apeks Rebels,BIG Academy,Overpass,6,16
1314,Nigma Galaxy,ATK fe,Inferno,16,0
1315,Young Ninjas,Astralis Talent,Mirage,12,16
1316,BIG EQUIPA,Black Dragons fe,Nuke,12,16
1317,OG Academy,PROSPECTS,Ancient,8,16
1318,Pyhan Ilona,TMVG,Nuke,12,16
1319,Pyhan Ilona,TMVG,Inferno,4,16
1320,X,Budapest Five,Ancient,16,12
1321,X,Budapest Five,Dust2,11,16
1322,X,Budapest Five,Mirage,16,14
1323,fnatic Rising,MOUZ NXT,Ancient,19,17
1324,CLG Red,Mindfreak,Mirage,16,2
1325,Spirit Academy,Young Gods,Vertigo,16,9
1326,MIBR,Axolotls,Ancient,16,12
1327,MIBR,Axolotls,Mirage,2,16
1328,MIBR,Axolotls,Dust2,16,14
1329,ex-UYU,Brazen,Inferno,16,19
1330,ex-UYU,Brazen,Nuke,10,16
1331,Unjustified,ATK,Inferno,6,16
1332,Unjustified,ATK,Mirage,7,16
1333,B8,SC,Inferno,6,16
1334,B8,SC,Nuke,16,10
1335,B8,SC,Vertigo,11,16
1336,fnatic Rising,OG Academy,Inferno,16,13
1337,Apeks,Sprout,Ancient,26,28
1338,Apeks,Sprout,Dust2,19,16
1339,Apeks,Sprout,Overpass,13,16
1340,Spirit Academy,PROSPECTS,Dust2,14,16
1341,Lilmix,LakeShow,Mirage,9,16
1342,Lilmix,LakeShow,Nuke,5,16
1343,Eternal Fire Academy,MOUZ NXT,Mirage,12,16
1344,Apeks Rebels,Young Ninjas,Overpass,6,16
1345,BIG Academy,NAVI Junior,Dust2,16,4
1346,ex-MAD Lions,EC Kyiv,Inferno,16,12
1347,ex-MAD Lions,EC Kyiv,Mirage,16,11
1348,Kyrgyzstan U23,Russia U23,Dust2,7,16
1349,Kyrgyzstan U23,Russia U23,Mirage,14,16
1350,MIBR,BHOP,Inferno,13,16
1351,MIBR,BHOP,Nuke,16,6
1352,MIBR,BHOP,Overpass,16,12
1353,FURIA,BIG,Nuke,8,16
1354,FURIA,BIG,Vertigo,16,10
1355,FURIA,BIG,Mirage,10,16
1356,Liquid,Cloud9,Ancient,5,16
1357,Liquid,Cloud9,Vertigo,12,16
1358,Bad News Bears,Carpe Diem,Nuke,3,16
1359,Bad News Bears,Carpe Diem,Inferno,16,7
1360,Bad News Bears,Carpe Diem,Overpass,11,16
1361,ENCE,FaZe,Mirage,12,16
1362,ENCE,FaZe,Ancient,16,12
1363,ENCE,FaZe,Nuke,16,8
1364,Vitality,G2,Dust2,7,16
1365,Vitality,G2,Inferno,14,16
1366,PROSPECTS,MOUZ NXT,Mirage,8,16
1367,Astralis Talent,BIG Academy,Mirage,20,22
1368,ex-MAD Lions,Sprout,Mirage,16,9
1369,ex-MAD Lions,Sprout,Ancient,12,16
1370,ex-MAD Lions,Sprout,Inferno,6,16
1371,WinX,allStars,Overpass,12,16
1372,WinX,allStars,Dust2,16,19
1373,Finest,BLUEJAYS,Mirage,16,9
1374,Finest,BLUEJAYS,Dust2,11,16
1375,Finest,BLUEJAYS,Vertigo,16,7
1376,NAVI Junior,FURIA Academy,Inferno,13,16
1377,NIP,Cloud9,Vertigo,16,19
1378,NIP,Cloud9,Overpass,5,16
1379,Liquid,MIBR,Ancient,16,12
1380,Liquid,MIBR,Inferno,16,9
1381,OG Academy,Young Gods,Mirage,16,14
1382,fnatic Rising,Eternal Fire Academy,Inferno,16,13
1383,Enterprise,ECSTATIC,Ancient,15,19
1384,Enterprise,ECSTATIC,Inferno,16,9
1385,Enterprise,ECSTATIC,Overpass,1,16
1386,MIBR,Carpe Diem,Overpass,16,14
1387,MIBR,Carpe Diem,Dust2,16,4
1388,TeamOne,ex-UYU,Inferno,13,16
1389,TeamOne,ex-UYU,Mirage,19,16
1390,TeamOne,ex-UYU,Nuke,16,11
1391,G2,Astralis,Nuke,16,5
1392,G2,Astralis,Dust2,10,16
1393,G2,Astralis,Vertigo,16,10
1394,Gaimin Gladiators,GODSENT,Inferno,13,16
1395,Gaimin Gladiators,GODSENT,Vertigo,9,16
1396,Bad News Bears,Strife,Vertigo,7,16
1397,Bad News Bears,Strife,Inferno,7,16
1398,MIBR,BIG,Mirage,18,22
1399,MIBR,BIG,Nuke,4,16
1400,MOUZ,Vitality,Inferno,14,16
1401,MOUZ,Vitality,Mirage,7,16
1402,FURIA,Cloud9,Vertigo,16,9
1403,FURIA,Cloud9,Mirage,16,13
1404,Spirit Academy,fnatic Rising,Mirage,16,13
1405,SKADE,Into the Breach,Inferno,16,3
1406,SKADE,Into the Breach,Overpass,14,16
1407,SKADE,Into the Breach,Mirage,14,16
1408,K23,Sprout,Ancient,12,16
1409,K23,Sprout,Mirage,16,14
1410,K23,Sprout,Dust2,12,16
1411,ex-MAD Lions,HEET,Inferno,3,16
1412,ex-MAD Lions,HEET,Ancient,16,3
1413,ex-MAD Lions,HEET,Dust2,7,16
1414,Eternal Fire Academy,OG Academy,Dust2,13,16
1415,Young Ninjas,X Gamer,Overpass,19,17
1416,Young Ninjas,X Gamer,Inferno,10,16
1417,Young Ninjas,X Gamer,Ancient,16,6
1418,BIG Academy,KOVA,Nuke,14,16
1419,BIG Academy,KOVA,Overpass,16,14
1420,BIG Academy,KOVA,Vertigo,9,16
1421,MIBR,Strife,Default,0,1
1422,Young Gods,PROSPECTS,Mirage,16,13
1423,Complexity,NIP,Vertigo,9,16
1424,Complexity,NIP,Overpass,12,16
1425,Imperial,Liquid,Overpass,9,16
1426,Imperial,Liquid,Vertigo,9,16
1427,FURIA Academy,Apeks Rebels,Overpass,19,17
1428,Apeks,Enterprise,Ancient,14,16
1429,Apeks,Enterprise,Nuke,16,11
1430,Apeks,Enterprise,Mirage,12,16
1431,BIG Academy,Young Ninjas,Overpass,16,13
1432,777,SINNERS,Inferno,4,16
1433,777,SINNERS,Overpass,16,13
1434,777,SINNERS,Nuke,3,16
1435,Bad News Bears,MIBR,Nuke,16,10
1436,Bad News Bears,MIBR,Inferno,7,16
1437,Bad News Bears,MIBR,Overpass,16,11
1438,Strife,Axolotls,Ancient,16,9
1439,Strife,Axolotls,Mirage,16,14
1440,FaZe,Vitality,Dust2,16,11
1441,FaZe,Vitality,Nuke,16,10
1442,Encore,Astralis,Vertigo,3,16
1443,Encore,Astralis,Nuke,9,16
1444,Carpe Diem,Strife,Overpass,19,16
1445,Carpe Diem,Strife,Nuke,12,16
1446,Carpe Diem,Strife,Inferno,16,19
1447,G2,ENCE,Dust2,14,16
1448,G2,ENCE,Nuke,14,16
1449,Movistar Riders,MOUZ,Ancient,9,16
1450,Movistar Riders,MOUZ,Mirage,10,16
1451,FURIA Academy,BIG Academy,Vertigo,3,16
1452,Entropiq Prague,ex-MAD Lions,Inferno,10,16
1453,Entropiq Prague,ex-MAD Lions,Vertigo,16,9
1454,Entropiq Prague,ex-MAD Lions,Mirage,11,16
1455,Apeks Rebels,Astralis Talent,Vertigo,1,16
1456,NIP,BIG,Ancient,10,16
1457,MIBR,Complexity,Nuke,16,4
1458,Young Ninjas,NAVI Junior,Inferno,16,12
1459,Liquid,Cloud9,Vertigo,6,16
1460,FURIA,Imperial,Mirage,16,9
1461,Young Gods,MOUZ NXT,Ancient,14,16
1462,Astralis,Vitality,Vertigo,12,16
1463,FaZe,Encore,Dust2,16,5
1464,MASONIC,AGO,Ancient,16,9
1465,MASONIC,AGO,Nuke,16,4
1466,Budapest Five,Case,Mirage,16,12
1467,Budapest Five,Case,Overpass,13,16
1468,Budapest Five,Case,Inferno,16,13
1469,Eternal Fire Academy,PROSPECTS,Mirage,7,16
1470,MOUZ,ENCE,Nuke,9,16
1471,G2,Movistar Riders,Nuke,16,5
1472,Spirit Academy,OG Academy,Nuke,22,19
1473,Tricked,Into the Breach,Inferno,19,16
1474,Tricked,Into the Breach,Nuke,16,10
1475,Sprout,HEET,Overpass,19,15
1476,Sprout,HEET,Dust2,11,16
1477,Sprout,HEET,Ancient,14,16
1478,Gaimin Gladiators,Party Astronauts,Inferno,16,1
1479,Gaimin Gladiators,Party Astronauts,Mirage,14,16
1480,Gaimin Gladiators,Party Astronauts,Ancient,16,14
1481,Mindfreak,Please Send Help,Mirage,16,9
1482,Mindfreak,Please Send Help,Overpass,13,16
1483,Mindfreak,Please Send Help,Inferno,16,8
1484,paiN,Carpe Diem,Overpass,16,13
1485,paiN,Carpe Diem,Nuke,16,6
1486,Strife,Mythic,Ancient,16,3
1487,Strife,Mythic,Overpass,5,16
1488,Strife,Mythic,Inferno,16,14
1489,ATK,ex-UYU,Inferno,16,5
1490,ATK,ex-UYU,Mirage,16,7
1491,Black Dragons fe,MIBR fe,Dust2,16,12
1492,Black Dragons fe,MIBR fe,Overpass,32,34
1493,Black Dragons fe,MIBR fe,Inferno,7,16
1494,Party Astronauts,Carpe Diem,Overpass,8,16
1495,Party Astronauts,Carpe Diem,Dust2,16,14
1496,Party Astronauts,Carpe Diem,Inferno,14,16
1497,paiN,Gaimin Gladiators,Inferno,16,11
1498,paiN,Gaimin Gladiators,Ancient,16,12
1499,B8,Anonymo,Nuke,16,7
1500,B8,Anonymo,Overpass,13,16
1501,B8,Anonymo,Ancient,16,12
1502,Spirit Academy,Eternal Fire Academy,Inferno,16,14
1503,Sprout,Sampi,Inferno,16,7
1504,Sprout,Sampi,Dust2,10,16
1505,Sprout,Sampi,Ancient,16,7
1506,PROSPECTS,777,Overpass,10,16
1507,PROSPECTS,777,Vertigo,16,2
1508,PROSPECTS,777,Ancient,14,16
1509,SAW,FTW,Default,1,0
1510,SAW,FTW,Dust2,6,16
1511,SAW,FTW,Overpass,16,9
1512,SAW,FTW,Vertigo,14,16
1513,SAW,FTW,Nuke,11,16
1514,fnatic Rising,Young Gods,Inferno,16,2
1515,OG Academy,MOUZ NXT,Inferno,16,11
1516,Anonymo,Entropy,Overpass,12,16
1517,Anonymo,Entropy,Ancient,16,9
1518,Anonymo,Entropy,Dust2,19,17
1519,FURIA Academy,Young Ninjas,Overpass,16,3
1520,KOVA,temp,Nuke,16,10
1521,KOVA,temp,Inferno,17,19
1522,KOVA,temp,Ancient,16,5
1523,Lilmix,Lemondogs,Inferno,16,9
1524,Lilmix,Lemondogs,Ancient,16,7
1525,Astralis Talent,NAVI Junior,Vertigo,16,14
1526,SINNERS,MOUZ NXT,Nuke,9,16
1527,SINNERS,MOUZ NXT,Inferno,4,16
1528,Oilers,777,Overpass,6,16
1529,Oilers,777,Nuke,16,7
1530,Oilers,777,Dust2,12,16
1531,EC Brugge,B8,Nuke,10,16
1532,EC Brugge,B8,Vertigo,3,16
1533,OFFSET,FTW,Vertigo,12,16
1534,OFFSET,FTW,Inferno,10,16
1535,PROSPECTS,Apeks Rebels,Mirage,16,8
1536,PROSPECTS,Apeks Rebels,Ancient,13,16
1537,PROSPECTS,Apeks Rebels,Dust2,16,7
1538,ATK,Gaimin Gladiators,Dust2,6,16
1539,Carpe Diem,ex-UYU,Inferno,16,8
1540,paiN,ONET4P,Nuke,16,6
1541,Brazen,Party Astronauts,Inferno,9,16
1542,Astralis Talent,FURIA Academy,Overpass,13,16
1543,Enterprise,EC Brugge,Nuke,16,9
1544,Enterprise,EC Brugge,Inferno,16,7
1545,Hellslayers,ECSTATIC,Dust2,16,14
1546,Hellslayers,ECSTATIC,Ancient,6,16
1547,Hellslayers,ECSTATIC,Overpass,11,16
1548,fnatic Rising,PROSPECTS,Ancient,10,16
1549,los kogutos,kevlarirl,Overpass,12,16
1550,los kogutos,kevlarirl,Ancient,16,12
1551,los kogutos,kevlarirl,Mirage,16,13
1552,OFFSET,SAW,Nuke,8,16
1553,OFFSET,SAW,Inferno,11,16
1554,K23,ex-MAD Lions,Vertigo,14,16
1555,K23,ex-MAD Lions,Overpass,11,16
1556,temp,Bob,Ancient,31,29
1557,temp,Bob,Mirage,16,13
1558,Eternal Fire Academy,Young Gods,Inferno,13,16
1559,EC Brugge,ROYALS,Inferno,9,16
1560,EC Brugge,ROYALS,Nuke,16,14
1561,EC Brugge,ROYALS,Mirage,16,4
1562,BLUEJAYS,BLINK,Inferno,16,10
1563,BLUEJAYS,BLINK,Mirage,25,21
1564,Spirit Academy,MOUZ NXT,Nuke,6,16
1565,K23,UNGENTIUM,Ancient,22,20
1566,K23,UNGENTIUM,Inferno,16,9
1567,NAVI Junior,Apeks Rebels,Vertigo,16,12
1568,VELOX,FTW,Overpass,9,16
1569,VELOX,FTW,Vertigo,8,16
1570,los kogutos,AGF,Nuke,16,4
1571,los kogutos,AGF,Mirage,16,11
1572,kevlarirl,EXEN,Ancient,16,5
1573,kevlarirl,EXEN,Overpass,16,7
1574,Enterprise,Operation Save Spot,Nuke,16,5
1575,Enterprise,Operation Save Spot,Inferno,16,8
1576,KOVA,Conquer,Inferno,16,11
1577,KOVA,Conquer,Nuke,16,4
1578,X,BLINK,Ancient,16,12
1579,X,BLINK,Inferno,11,16
1580,X,BLINK,Mirage,14,16
1581,SAW,FTW,Vertigo,16,9
1582,OFFSET,VELOX,Inferno,16,12
1583,Illyrians,BLUEJAYS,Vertigo,4,16
1584,Illyrians,BLUEJAYS,Inferno,12,16
1585,paiN,GODSENT,Ancient,16,6
1586,paiN,GODSENT,Vertigo,9,16
1587,paiN,GODSENT,Inferno,7,16
1588,Strife,Party Astronauts,Dust2,9,16
1589,Strife,Party Astronauts,Nuke,16,14
1590,Strife,Party Astronauts,Inferno,12,16
1591,GODSENT,ATK,Mirage,16,14
1592,GODSENT,ATK,Overpass,16,8
1593,Eternal Fire,Finest,Overpass,16,9
1594,Eternal Fire,Finest,Vertigo,6,16
1595,Eternal Fire,Finest,Dust2,14,16
1596,PROSPECTS,OG Academy,Mirage,16,9
1597,MIBR,OG,Dust2,5,16
1598,MIBR,OG,Overpass,11,16
1599,Sprout,MOUZ,Vertigo,16,14
1600,Sprout,MOUZ,Inferno,16,12
1601,MOUZ NXT,fnatic Rising,Mirage,22,20
1602,Young Gods,Spirit Academy,Mirage,16,10
1603,Finest,Movistar Riders,Inferno,16,12
1604,Finest,Movistar Riders,Vertigo,17,19
1605,Finest,Movistar Riders,Mirage,16,12
1606,BLINK,ESK,Dust2,16,1
1607,BLINK,ESK,Inferno,12,16
1608,BLINK,ESK,Mirage,16,13
1609,Bob,TMVG,Inferno,16,3
1610,Bob,TMVG,Nuke,16,4
1611,BIG Academy,Apeks Rebels,Mirage,16,5
1612,Illyrians,Perspektiva,Inferno,16,4
1613,Illyrians,Perspektiva,Ancient,16,14
1614,forZe,MOUZ,Overpass,16,19
1615,forZe,MOUZ,Ancient,12,16
1616,Astralis Talent,Young Ninjas,Ancient,16,12
1617,Enterprise,Wolsung,Overpass,25,23
1618,Enterprise,Wolsung,Mirage,14,16
1619,Enterprise,Wolsung,Inferno,16,9
1620,Conquer,COWABUNGA,Nuke,16,13
1621,Conquer,COWABUNGA,Inferno,16,11
1622,BLUEJAYS,uNiQUE,Inferno,16,8
1623,BLUEJAYS,uNiQUE,Dust2,16,10
1624,Eternal Fire,ECSTATIC,Nuke,19,17
1625,Eternal Fire,ECSTATIC,Inferno,16,12
1626,X,Sakrifica,Nuke,16,3
1627,X,Sakrifica,Inferno,16,8
1628,paiN,ATK,Dust2,16,13
1629,paiN,ATK,Vertigo,13,16
1630,paiN,ATK,Inferno,16,10
1631,TeamOne,GODSENT,Nuke,13,16
1632,TeamOne,GODSENT,Ancient,6,16
1633,ATK,GODSENT,Mirage,22,20
1634,ATK,GODSENT,Vertigo,16,7
1635,paiN,TeamOne,Inferno,16,8
1636,paiN,TeamOne,Ancient,16,7
1637,Young Ninjas,Apeks Rebels,Overpass,16,10
1638,MOUZ,Sprout,Overpass,14,16
1639,MOUZ,Sprout,Inferno,17,19
1640,forZe,SKADE,Overpass,16,4
1641,forZe,SKADE,Dust2,16,14
1642,MOUZ NXT,Eternal Fire Academy,Nuke,16,4
1643,SINNERS,Sampi,Overpass,16,9
1644,SINNERS,Sampi,Inferno,16,12
1645,SC,Cryptova,Dust2,16,9
1646,SC,Cryptova,Overpass,16,12
1647,Movistar Riders,Isurus,Mirage,16,9
1648,Movistar Riders,Isurus,Nuke,16,11
1649,OG Academy,fnatic Rising,Inferno,15,19
1650,Finest,KOVA,Ancient,10,16
1651,Finest,KOVA,Overpass,16,9
1652,Finest,KOVA,Inferno,16,2
1653,NAVI Junior,BIG Academy,Dust2,10,16
1654,B8,0to100,Nuke,16,7
1655,B8,0to100,Inferno,16,8
1656,Bad News Eagles,ECSTATIC,Dust2,16,4
1657,Bad News Eagles,ECSTATIC,Vertigo,1,16
1658,Bad News Eagles,ECSTATIC,Ancient,12,16
1659,Into the Breach,Case,Inferno,16,4
1660,Into the Breach,Case,Ancient,22,20
1661,PROSPECTS,Spirit Academy,Mirage,16,14
1662,HEET,SKADE,Overpass,14,16
1663,HEET,SKADE,Nuke,13,16
1664,forZe,K23,Mirage,16,14
1665,forZe,K23,Nuke,16,13
1666,AGO,Enterprise,Inferno,3,16
1667,AGO,Enterprise,Mirage,19,22
1668,Eternal Fire,SKADE,Nuke,16,11
1669,Eternal Fire,SKADE,Inferno,16,14
1670,TYLOO,Finest,Vertigo,4,16
1671,TYLOO,Finest,Dust2,6,16
1672,TeamOne,Brazen,Nuke,16,6
1673,TeamOne,Brazen,Mirage,13,16
1674,TeamOne,Brazen,Vertigo,8,16
1675,Axolotls,Mythic,Vertigo,6,16
1676,Axolotls,Mythic,Inferno,13,16
1677,paiN,ex-UYU,Inferno,16,10
1678,paiN,ex-UYU,Nuke,16,2
1679,Strife,BHOP,Nuke,16,9
1680,Strife,BHOP,Mirage,16,8
1681,SKADE,1WIN,Dust2,16,14
1682,SKADE,1WIN,Ancient,17,19
1683,SKADE,1WIN,Overpass,16,11
1684,Entropiq,K23,Mirage,13,16
1685,Entropiq,K23,Ancient,16,7
1686,Entropiq,K23,Dust2,13,16
1687,Iron Branch,VP.Prodigy,Vertigo,10,16
1688,Iron Branch,VP.Prodigy,Dust2,16,8
1689,Iron Branch,VP.Prodigy,Inferno,16,5
1690,SAW,AGO,Nuke,19,15
1691,SAW,AGO,Ancient,17,19
1692,SAW,AGO,Vertigo,16,12
1693,BLUEJAYS,eSuba,Inferno,16,8
1694,BLUEJAYS,eSuba,Mirage,19,17
1695,SINNERS,ex-MAD Lions,Mirage,8,16
1696,SINNERS,ex-MAD Lions,Ancient,19,16
1697,SINNERS,ex-MAD Lions,Inferno,7,16
1698,Spirit,Finest,Vertigo,13,16
1699,Spirit,Finest,Ancient,17,19
1700,Sprout,HEET,Vertigo,16,6
1701,Sprout,HEET,Dust2,16,13
1702,forZe,MOUZ,Mirage,11,16
1703,forZe,MOUZ,Ancient,8,16
1704,MOUZ NXT,PROSPECTS,Ancient,16,5
1705,Young Gods,OG Academy,Dust2,7,16
1706,k1ck,Coastal Mayhem,Ancient,16,4
1707,k1ck,Coastal Mayhem,Mirage,14,16
1708,k1ck,Coastal Mayhem,Overpass,14,16
1709,Eternal Fire Academy,fnatic Rising,Vertigo,7,16
1710,Apeks,ECSTATIC,Nuke,22,18
1711,Apeks,ECSTATIC,Ancient,5,16
1712,Apeks,ECSTATIC,Dust2,13,16
1713,K23,HEET,Overpass,19,17
1714,K23,HEET,Ancient,5,16
1715,K23,HEET,Dust2,9,16
1716,FURIA Academy,NAVI Junior,Mirage,16,6
1717,ex-MAD Lions,UNGENTIUM,Ancient,19,16
1718,ex-MAD Lions,UNGENTIUM,Inferno,16,8
1719,Entropiq,Sprout,Vertigo,13,16
1720,Entropiq,Sprout,Ancient,14,16
1721,BIG Academy,Astralis Talent,Mirage,10,16
1722,1WIN,MOUZ,Vertigo,11,16
1723,1WIN,MOUZ,Nuke,11,16
1724,forZe,SKADE,Overpass,16,8
1725,forZe,SKADE,Dust2,16,11
1726,BLUEJAYS,BIG Academy,Dust2,16,10
1727,BLUEJAYS,BIG Academy,Mirage,12,16
1728,BLUEJAYS,BIG Academy,Vertigo,16,7
1729,K23,Isurus,Inferno,19,22
1730,K23,Isurus,Dust2,7,16
1731,GamerLegion,SKADE,Nuke,7,16
1732,GamerLegion,SKADE,Inferno,4,16
1733,Party Astronauts,Mythic,Mirage,16,5
1734,Party Astronauts,Mythic,Inferno,10,16
1735,Party Astronauts,Mythic,Ancient,8,16
1736,Sao Caetano,ARCTIC,Inferno,16,10
1737,Sao Caetano,ARCTIC,Nuke,16,10
1738,paiN,TeamOne,Inferno,16,10
1739,paiN,TeamOne,Ancient,16,12
1740,Brazen,ATK,Mirage,5,16
1741,Brazen,ATK,Dust2,12,16
1742,SWS,ARCTIC,Ancient,9,16
1743,SWS,ARCTIC,Vertigo,14,16
1744,Apeks Rebels,FURIA Academy,Vertigo,16,13
1745,AFTERPARTY,Budapest Five,Inferno,9,16
1746,AFTERPARTY,Budapest Five,Mirage,3,16
1747,Sprout,MOUZ NXT,Vertigo,25,28
1748,Sprout,MOUZ NXT,Mirage,6,16
1749,Eternal Fire,SAW,Nuke,17,19
1750,Eternal Fire,SAW,Dust2,16,8
1751,Eternal Fire,SAW,Vertigo,16,14
1752,Young Ninjas,BIG Academy,Mirage,10,16
1753,EC Kyiv,777,Overpass,13,16
1754,EC Kyiv,777,Dust2,16,10
1755,EC Kyiv,777,Ancient,16,5
1756,X,iNation,Ancient,19,17
1757,X,iNation,Vertigo,9,16
1758,X,iNation,Inferno,16,5
1759,fnatic Rising,Spirit Academy,Nuke,16,7
1760,ECSTATIC,Enterprise,Inferno,9,16
1761,ECSTATIC,Enterprise,Overpass,16,6
1762,ECSTATIC,Enterprise,Dust2,16,14
1763,NKT,Rare Atom,Inferno,16,12
1764,NKT,Rare Atom,Mirage,17,19
1765,NKT,Rare Atom,Vertigo,7,16
